Z,BZ
20.001,120.065
22.5,120.191
25.095,120.285
27.483,119.442
29.967,118.85
32.546,118.319
34.871,117.258
37.546,116.447
40.014,115.198
42.545,114.043
45.013,112.732
47.497,111.639
50.029,110.235
52.417,108.83
54.901,107.394
57.416,106.082
59.9,104.521
62.416,102.773
65.011,101.368
67.511,99.776
69.931,98.09
72.511,96.404
74.963,94.531
77.542,92.72
79.994,90.94
82.478,88.942
84.994,86.944
87.541,84.852
90.009,82.478
92.509,80.23
94.993,78.045
97.445,75.422
100.009,72.549
102.604,69.895
104.977,67.365
107.445,63.93
110.009,60.37
112.509,56.373
115.057,52.219
117.541,47.035
120.105,40.445
122.542,31.701
125.107,19.863
127.56,11.212
130.06,7.027
